avgdelay,category,year
6.52,Sat,2000
11.29,Sun,2000
4.3,Mon,2001
3.51,Tue,2001
4.66,Wed,2001
7.64,Thu,2001
9.21,Fri,2001
3.71,Sat,2001
5.49,Sun,2001
3.53,Mon,2002
2.54,Tue,2002
2.7,Wed,2002
4.89,Thu,2002
5.44,Fri,2002
0.08,Sat,2002
2.78,Sun,2002
3.96,Mon,2003
2.46,Tue,2003
3.21,Wed,2003
5.14,Thu,2003
5.52,Fri,2003
0.49,Sat,2003
3.96,Sun,2003
7.8,Mon,2004
5.51,Tue,2004
6.82,Wed,2004
7.94,Thu,2004
7.98,Fri,2004
2.65,Sat,2004
6.28,Sun,2004
7.86,Mon,2005
5.37,Tue,2005
7.56,Wed,2005
9.67,Thu,2005
9.51,Fri,2005
3.3,Sat,2005
6.45,Sun,2005
8.84,Mon,2006
6.2,Tue,2006
7.98,Wed,2006
11.58,Thu,2006
12.32,Fri,2006
5.17,Sat,2006
8.14,Sun,2006
10.51,Mon,2007
8.26,Tue,2007
9.96,Wed,2007
12.69,Thu,2007
13.07,Fri,2007
5.85,Sat,2007
10.33,Sun,2007
8.21,Mon,2008
7.48,Tue,2008
6.52,Wed,2008
8.41,Thu,2008
10.95,Fri,2008
5.79,Sat,2008
9.5,Sun,2008
